txname	uhr 1	uhr 2	uhr 3	uhr 4	brain 1	brain 2	brain 3	brain 4	seqnames	start	end	width	strand	tx_id
NM_001280	2.11582723	2.11533357	2.15163454	2.08393148	3.91501304	3.98488495	3.85148424	3.85761165	chr19	1220267	1224171	3905	+	31888
NM_001283	0.77213542	0.84052818	0.84265658	0.8347685	0.75459482	0.74622118	0.78604679	0.7769621	chr7	100584406	100591277	6872	+	13578
NM_001344	0.76849788	0.81633368	0.81336072	0.76412675	0.41894437	0.42244553	0.40463899	0.42328765	chr14	22103647	22127983	24337	-	25265
NM_001346	0.01119068	0.01115723	0.00967401	0.01019833	0.85565792	0.79809743	0.80183876	0.85930361	chr3	187347684	187562717	215034	-	6544
NM_001348	0.19717015	0.20006486	0.16114559	0.19255766	0.20754716	0.20064787	0.20932326	0.2024473	chr19	3909452	3920826	11375	-	31993
NM_001358	0.11647166	0.11893005	0.10562144	0.11334558	0.05929733	0.06412231	0.06543316	0.06366834	chr4	24138186	24195282	57097	-	8568
NM_001365	0.15317372	0.15043613	0.15633056	0.15061434	2.32257298	2.34434602	2.43014511	2.40067328	chr17	7033934	7064093	30160	-	29237
NM_001379	0.77967947	0.81196767	0.84168829	0.76226022	0.19767007	0.18878568	0.19459311	0.19699499	chr19	10105022	10166755	61734	-	32208
NM_001418	7.14649084	6.76277218	7.65979056	7.17128426	4.25443129	4.47529071	4.28752428	4.37834892	chr11	10775169	10787158	11990	-	21448
NM_001419	1.14852541	1.25828486	1.15073431	1.21371429	0.43550714	0.44942111	0.43344811	0.42846463	chr19	7929457	7976529	47073	-	32142
NM_001432	0.03583197	0.03379283	0.03350158	0.03664683	0.00032397	0.0005202	0.00037935	0.00032397	chr4	75449724	75473341	23618	+	8743
NM_001433	0.40803034	0.4118203	0.42409237	0.40471079	0.06505944	0.06149596	0.06460015	0.06614549	chr17	59474122	59561234	87113	-	30595
NM_001442	0.00042771	0.00042771	0.00042771	0.00042771	0.00554589	0.00507277	0.00512698	0.00508977	chr8	82553287	82558028	4742	-	15160
NM_001443	1.46718933	1.4799108	1.47449016	1.48152085	0.00337374	0.00275869	0.00337356	0.00311008	chr2	88203625	88208693	5069	-	5035
NM_001447	0.00447435	0.0043205	0.00412419	0.00487811	0.88969014	0.93208187	0.94606953	0.92432078	chr5	150863846	150928698	64853	-	9647
NM_001461	0.21222846	0.19732517	0.21909193	0.20221887	0.03146625	0.03225217	0.03159941	0.03037888	chr1	145124462	145163854	39393	-	2433
NM_001483	0.9085728	0.91058299	0.88991646	0.91348097	0.77314947	0.7675808	0.77652577	0.80820505	chr7	55999790	56035365	35576	+	13055
NM_001507	0.00050608	0.00050608	0.00050608	0.00050608	0.00047983	0.00047983	0.00047983	0.00047983	chr13	48692475	48694514	2040	+	24956
NM_001554	0.65991236	0.66509412	0.68998497	0.65406822	0.09392615	0.09248567	0.08682993	0.08485047	chr1	85819032	85822236	3205	+	2099
NM_001561	0.02879063	0.0285456	0.02879847	0.02867088	0.0004356	0.00050547	0.00077988	0.00040849	chr1	7898518	7925812	27295	-	1187
NM_001567	0.70392971	0.71197861	0.71811731	0.71209075	0.15176157	0.1451597	0.15030854	0.14262727	chr11	71613530	71627836	14307	+	22262
NM_001586	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	chrX	153152126	153176632	24507	-	18780
NM_001606	0.50150504	0.50055674	0.51361566	0.51199247	3.5512896	3.58015129	3.62277107	3.59495884	chr9	139021507	139042561	21055	-	16866
NM_001622	24.94418445	26.29749009	26.4194833	26.18475745	0.00048939	0.00048939	0.00048939	0.00048939	chr3	187813544	187821802	8259	+	7746
NM_001631	0.02580959	0.02524838	0.02548005	0.02543646	0.00048939	0.00048939	0.00048939	0.00048939	chr2	233029077	233032986	3910	+	5750
NM_001633	3.19733603	3.25360528	3.54834369	3.41105691	0.00065785	0.00077733	0.0008445	0.00118684	chr9	115862229	115880573	18345	-	15857
NM_001634	1.27455227	1.35172887	1.32598754	1.28360191	1.47751405	1.47681036	1.39027344	1.51743896	chr6	111302680	111323606	20927	+	12022
NM_001638	0.00774305	0.0085338	0.00788213	0.00788526	0.00048939	0.00048939	0.00048939	0.00048939	chr12	55040622	55042850	2229	-	24034
NM_001662	0.83622115	0.79649463	0.85013161	0.88542094	0.90842515	0.89170906	0.92773616	0.92569397	chr7	127015642	127018995	3354	+	13803
NM_001678	0.14056206	0.12954216	0.13180967	0.13781841	13.18037942	13.68737141	13.28515869	13.93156663	chr17	7494979	7501814	6836	+	29308
NM_001692	0.0277846	0.03181329	0.03432215	0.03007251	0.00379256	0.00352277	0.00400667	0.00322436	chr2	71016506	71046069	29564	+	4031
NM_001727	0.0007846	0.00051	0.00051	0.00094471	0.00169519	0.00112238	0.00164643	0.00117004	chrX	135397791	135402264	4474	+	18504
NM_001732	0.00110816	0.00111626	0.00174693	0.00122308	0.0014984	0.00151284	0.00246116	0.00151421	chr6	26609474	26618631	9158	+	10987
NM_001776	0.01382586	0.01500025	0.01614514	0.01312689	0.09520838	0.08679268	0.08642198	0.08322678	chr10	97505663	97627013	121351	+	19245
NM_001779	0.19985312	0.21049249	0.20704294	0.20687973	0.02609242	0.0245583	0.02476386	0.02496946	chr1	116858679	116915238	56560	-	2358
NM_001785	0.10146603	0.09953593	0.09873177	0.09541668	0.02195683	0.02204404	0.01956988	0.01712684	chr1	20788031	20817987	29957	+	1382
NM_001809	0.15049141	0.16073073	0.16655151	0.17741733	0.00048939	0.00048939	0.00048939	0.00048939	chr2	26862386	26870959	8574	+	3891
NM_001819	0.02397391	0.02094638	0.02374576	0.02568058	2.26686617	2.35537172	2.37243142	2.36385249	chr20	5839974	5854005	14032	+	34366
NM_001827	0.08778096	0.08843384	0.09089801	0.08811742	0.00854912	0.00883973	0.00806172	0.00726975	chr9	91115933	91121438	5506	+	16368
NM_001838	0.00178881	0.00154687	0.00146388	0.00225242	0.00049508	0.00048939	0.00048939	0.00139552	chr17	35963548	35975262	11715	-	29948
NM_001864	0.00290877	0.00230564	0.00222109	0.00177206	0.46515301	0.47452726	0.47124201	0.46437225	chr19	41333664	41335611	1948	-	32748
NM_001868	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	chr7	129807526	129815185	7660	+	13881
NM_001871	0.00042771	0.00042771	0.00042771	0.00042771	0.0007457	0.00079083	0.0006194	0.00076849	chr3	150028278	150060662	32385	+	7538
NM_001896	0.33271908	0.33512355	0.33518562	0.32283871	0.16580793	0.15800239	0.16232666	0.15681207	chr16	56749313	56789283	39971	-	27769
NM_001904	3.99925977	3.80410043	4.02333268	4.01419654	2.07623642	2.14438205	2.18051684	2.20163674	chr3	41215946	41256943	40998	+	6829
NM_001905	1.10256154	1.06405954	1.07379387	1.12381615	0.14390823	0.13963405	0.14414066	0.14533953	chr1	41217594	41250822	33229	+	1787
NM_001922	8.45351454	0.00042771	8.59050274	8.33607972	0.00153543	0.00221734	0.00200016	0.00228904	chr13	93889842	93929937	40096	-	25078
NM_001935	0.04970528	0.07979181	0.07786829	0.08520395	0.02396477	0.02338187	0.02091269	0.02275789	chr2	162557001	162639298	82298	-	5383
NM_001944	0.00042771	0.00042771	0.00042771	0.00042771	0.00159522	0.00167039	0.00035347	0.00102597	chr18	27281730	27312663	30934	+	31353
NM_001945	0.07122843	0.07915983	0.07847249	0.06926733	0.20312943	0.19112176	0.20606453	0.2002734	chr5	139692612	139706372	13761	-	10267
NM_001953	0.01983119	0.02260484	0.02173581	0.02220036	0.01964999	0.02019711	0.02141668	0.02163076	chr22	49311048	49315380	4333	-	36195
NM_001955	0.12704758	0.12607904	0.1352743	0.12171851	0.25931712	0.2422216	0.2760564	0.25585292	chr6	12398515	12405413	6899	+	10832
NM_001963	0.02697451	0.03002034	0.02657471	0.03168708	0.00894973	0.01291258	0.00943457	0.00860638	chr4	111053489	111153567	100079	+	7916
NM_001990	0.14471768	0.14403576	0.14780878	0.14229012	0.06763357	0.07137554	0.06814108	0.06404594	chr1	28173406	28287718	114313	-	318
NM_002006	0.28124395	0.29669688	0.29949099	0.28507006	0.48599317	0.4751559	0.50305807	0.46963622	chr4	123967313	124038840	71528	+	8280
NM_002010	0.01756984	0.01791755	0.01727606	0.0205889	0.32321584	0.32922177	0.32852714	0.3174424	chr13	21143215	21176640	33426	+	24828
NM_002017	0.11693143	0.11501502	0.11905962	0.11724304	0.05738516	0.05833646	0.05489139	0.06333483	chr11	128069023	128188372	119350	+	22732
NM_002048	0.46192082	0.44422855	0.44842471	0.46419327	0.19833981	0.1951736	0.18414455	0.19597357	chr9	88749097	88751924	2828	-	16345
NM_002055	0.21243662	0.20951351	0.21350487	0.21267802	46.30445178	45.86344109	42.31093957	45.60878706	chr17	40338519	40348440	9922	-	30180
NM_002056	1.12670417	1.11232672	1.19488946	1.20890038	0.57036705	0.58202993	0.56128017	0.53828482	chr2	69400409	69467886	67478	-	4893
NM_002062	0.00188889	0.00264613	0.00206491	0.00194767	0.00230889	0.00201531	0.00177373	0.00170243	chr6	39124535	39163498	38964	+	11501
NM_002103	0.67845146	0.67484119	0.6985765	0.68653083	0.24771604	0.24596614	0.25806357	0.25083176	chr19	54163194	54188422	25229	-	33275
NM_002153	0.17652013	0.17433043	0.18026929	0.16737268	0.00047418	0.00108529	0.00128729	0.00067019	chr16	80626359	80689640	63282	+	28856
NM_002155	0.05448539	0.05616337	0.05221264	0.05475352	0.09820495	0.08815858	0.09254423	0.08915329	chr1	159760660	159763311	2652	+	2992
NM_002162	0.26453138	0.2870604	0.29941653	0.30009762	0.00278533	0.0035358	0.00462615	0.00323962	chr19	10305452	10311345	5894	-	32210
NM_002188	0.00049723	0.00061192	0.00049723	0.00049723	0.00047418	0.00093072	0.00080837	0.00117464	chr5	132021764	132024700	2937	+	10186
NM_002195	0.00976082	0.00903237	0.012089	0.01147021	0.00047418	0.00047418	0.00047418	0.00047418	chr9	5221419	5223967	2549	+	16013
NM_002197	0.76029781	0.75912383	0.77114219	0.75752962	0.36247316	0.34174587	0.34946038	0.36220417	chr9	32374601	32440832	66232	+	15660
NM_002216	1.62186523	1.5855635	1.58972888	1.54908891	0.02550554	0.02258358	0.02147746	0.0216501	chr10	7785242	7831489	46248	+	19819
NM_002217	0.22717922	0.23424081	0.22552396	0.23218613	0.0023769	0.00181936	0.0027146	0.00216651	chr3	52803824	52818065	14242	+	7115
NM_002218	0.03794861	0.03658816	0.03811997	0.04324294	0.06994937	0.06940521	0.07043647	0.06795394	chr3	52822046	52839757	17712	-	7131
NM_002227	0.95181892	0.94480723	0.93192919	0.93999672	1.35646184	1.36496545	1.36428268	1.387473	chr1	65071494	65204775	133282	-	462
NM_002228	0.79994744	0.80258086	0.79878241	0.83740913	0.63913162	0.64400377	0.63579716	0.65690257	chr1	59019051	59022373	3323	-	2000
NM_002229	1.36685373	1.39022974	1.38465636	1.38291908	0.69206267	0.65449931	0.68920613	0.66934755	chr19	12763310	12765125	1816	+	32335
NM_002235	0.02618245	0.02864063	0.0237177	0.0248048	0.16132616	0.16747767	0.16874063	0.15695522	chr12	4788603	4830539	41937	+	23392
NM_002239	0.01330642	0.01387935	0.01494036	0.01542937	0.79627829	0.7931646	0.81540283	0.82559171	chr2	155263339	155421260	157922	+	4247
NM_002252	0.01909301	0.01700502	0.01793335	0.01832872	0.01757329	0.01984207	0.01721353	0.01735557	chr2	17923426	17977706	54281	+	3860
NM_002253	0.01489644	0.01592677	0.01641763	0.01923485	0.10206895	0.09459054	0.09371344	0.09151099	chr4	55639183	55686519	47337	-	8655
NM_002254	0.18876871	0.18486116	0.18091669	0.18414042	2.69443045	2.68633757	2.63179892	2.57866809	chr2	26002959	26058947	55989	-	4640
NM_002310	0.00576789	0.0058648	0.00841563	0.00989608	0.00141821	0.0012878	0.00138642	0.00047418	chr5	38510822	38631264	120443	-	9339
NM_002318	1.77732842	1.8213918	1.79874189	1.7805661	0.04577905	0.04211197	0.04201923	0.04390293	chr8	23210355	23317667	107313	-	14919
NM_002332	0.27667372	0.26910231	0.27548746	0.27524323	0.57170553	0.58336881	0.63098599	0.53433605	chr12	55808549	55893392	84844	+	23116
NM_002345	0.86177901	0.84655859	0.90403007	0.87228553	0.01114455	0.01203559	0.01200308	0.01172684	chr12	90021363	90029673	8311	-	24218
NM_002365	0.00302483	0.00266947	0.00235664	0.00360623	0.00047983	0.00047983	0.00047983	0.00047983	chrX	30158474	30165531	7058	+	17194
NM_002388	2.61145649	2.71672146	2.65060527	2.77652252	0.22858283	0.23347258	0.23389845	0.23050846	chr6	52236771	52257541	20771	-	11717
NM_002392	0.6646388	0.65664677	0.65278407	0.68857537	0.32253173	0.31929006	0.32283187	0.32983878	chr12	67488238	67525479	37242	+	23139
NM_002393	0.37893171	0.39950298	0.38187391	0.40972557	0.25450968	0.24307711	0.24336296	0.26544737	chr1	202752134	202793871	41738	+	850
NM_002411	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	chr11	61794206	61797204	2999	+	21897
NM_002412	0.21954213	0.21766877	0.23005478	0.2394319	0.25712192	0.26191105	0.29435544	0.30516031	chr10	131155444	131455773	300330	+	19756
NM_002415	29.42287619	29.62403486	29.29671593	29.02804159	10.41053095	10.43565894	10.63275128	10.29631595	chr22	22566565	22567409	845	+	35598
NM_002421	0.1541657	0.14981229	0.14229219	0.13900935	0.00047983	0.00047983	0.00047983	0.00047983	chr11	102165851	102174176	8326	-	22428
NM_002423	0.00069351	0.00062704	0.00064852	0.00101123	0.00047983	0.00047983	0.00047983	0.00047983	chr11	101896449	101906688	10240	-	22422
NM_002427	0.00265079	0.00306235	0.00269769	0.00268599	0.00047983	0.00047983	0.00047983	0.00047983	chr11	102318931	102331673	12743	-	22429
NM_002462	0.09724804	0.1017414	0.10569417	0.10371841	0.33280088	0.33472305	0.32401014	0.3425018	chr21	41719848	41753011	33164	+	35285
NM_002463	0.10113558	0.09314817	0.09475354	0.09620722	0.00745332	0.00655064	0.00673638	0.00685228	chr21	41655820	41702739	46920	+	35073
NM_002467	3.7248729	3.69436338	3.66019778	3.64959933	0.09418098	0.08799956	0.08720981	0.09295152	chr8	128817497	128822862	5366	+	15355
NM_002472	0.00050608	0.00050608	0.00050608	0.00050608	0.00047983	0.00047983	0.00047983	0.00047983	chr17	10234367	10265992	31626	-	29394
NM_002500	0.0045511	0.00389014	0.00365861	0.00379154	1.28205696	1.34334981	1.30557485	1.20889821	chr2	182249439	182253626	4188	-	5472
NM_002502	0.48032567	0.48697954	0.48847043	0.47895614	0.1050587	0.10743116	0.10547104	0.11476158	chr10	104145422	104152271	6850	+	20439
NM_002507	0.06772459	0.06324977	0.07006996	0.07154484	0.21238924	0.20626717	0.21793422	0.2160239	chr17	44927654	44947381	19728	+	30328
NM_002544	0.00539829	0.00735425	0.00694107	0.00598305	1.60548886	1.54917148	1.53563532	1.54019447	chr17	26645794	26648506	2713	-	29702
NM_002546	0.94331004	0.92007246	0.94013529	0.92623825	0.06717693	0.06517748	0.07032369	0.06578346	chr8	120004977	120033564	28588	-	15321
NM_002563	0.05650784	0.05872929	0.05867525	0.05662167	0.06951727	0.07346927	0.06737811	0.063174	chr3	154035426	154038533	3108	+	7572
NM_002566	0.12925702	0.13207629	0.13729801	0.12941776	0.07109974	0.06868423	0.07378543	0.07603754	chr19	10083197	10087064	3868	+	32198
NM_002569	0.02275741	0.02121325	0.01964583	0.01979973	0.00047418	0.00047418	0.00047418	0.00047418	chr15	89212889	89227691	14803	+	27481
NM_002575	0.14077332	0.1490903	0.13468295	0.13673889	0.00040849	0.00040849	0.00040849	0.00040849	chr18	59705919	59722104	16186	+	31481
NM_002595	0.08941811	0.08344954	0.07923782	0.07657788	0.30168182	0.31542221	0.31477692	0.29250271	chr12	95196170	95318497	122328	-	23198
NM_002616	0.17315937	0.17119259	0.17102354	0.16777653	0.39324115	0.38954899	0.41011665	0.39488807	chr17	7984513	7996478	11966	-	29349
NM_002618	0.23953117	0.25538939	0.25975147	0.24923409	0.18594963	0.19413901	0.19549791	0.19433172	chr2	61098316	61132629	34314	+	4841
NM_002622	0.490397	0.50328325	0.48154606	0.51753718	0.67604972	0.66706158	0.66632355	0.67349914	chr5	139604819	139662873	58055	-	10266
NM_002633	0.37931016	0.38903783	0.39581787	0.37431498	0.29569284	0.28812222	0.26484851	0.29724075	chr1	63831535	63898505	66971	+	451
NM_002639	0.04237517	0.0432119	0.0385114	0.04025636	0.00040849	0.00040849	0.00040849	0.00040849	chr18	59295124	59323298	28175	+	31472
NM_002647	0.18371576	0.18146008	0.18633674	0.17948648	0.30593672	0.31870034	0.31729074	0.31275663	chr18	37789197	37915444	126248	+	31157
NM_002653	0.33372724	0.32813302	0.33271664	0.33831333	0.00047983	0.00087765	0.00047983	0.00047983	chr5	134391323	134397863	6541	-	10217
NM_002658	0.50642836	0.51634599	0.52760685	0.55493765	0.0111807	0.0120809	0.01325672	0.01160289	chr10	75340868	75347264	6397	+	20180
NM_002670	0.07937579	0.07425931	0.08218194	0.07943808	0.02396796	0.02558032	0.02679377	0.02774093	chr3	143824956	143915195	90240	+	7509
NM_002677	0.01072962	0.01083334	0.01168587	0.01097992	3.45492702	3.54867063	3.18448237	3.32813892	chr8	82515119	82522274	7156	-	15162
NM_002690	0.1801032	0.17244805	0.17627612	0.17445786	0.30600457	0.31070761	0.3061214	0.32382336	chr8	42315187	42348470	33284	+	14454
NM_002692	0.15521759	0.14694488	0.14592281	0.15166501	0.00783844	0.00738259	0.0084603	0.00700831	chr14	49180020	49224848	44829	-	25523
NM_002696	0.2114278	0.21052818	0.2251594	0.21602236	0.09575207	0.09883537	0.10262047	0.09892952	chr11	62285587	62290763	5177	+	21925
NM_002710	3.24167533	3.29279082	3.46625979	3.2824382	1.6378083	1.69023857	1.7502529	1.70151051	chr12	109641998	109665140	23143	-	24368
NM_002721	0.3972784	0.38590292	0.3970304	0.38159711	0.3630105	0.34335623	0.3708208	0.35123679	chr9	126948673	126992039	43367	-	16609
NM_002739	0.01413511	0.01286733	0.01631653	0.0156428	1.66336412	1.58379042	1.64294173	1.53105693	chr19	59077279	59102713	25435	+	33691
NM_002759	0.59298581	0.62408171	0.64462028	0.66218498	0.43987259	0.40459083	0.45671994	0.45953716	chr2	37187203	37237694	50492	-	3929
NM_002766	0.37898669	0.39596349	0.38436586	0.38278622	0.21860414	0.22768694	0.22660928	0.22623071	chr17	71818463	71861825	43363	-	30795
NM_002775	0.08221287	0.07967293	0.07540177	0.08283227	0.22388859	0.29007121	0.29652652	0.2995653	chr10	124211031	124264414	53384	+	19734
NM_002778	4.13211142	4.3277535	4.13814368	4.05814703	0.58930232	0.55118454	0.63540591	0.60936568	chr10	73246061	73281088	35028	-	19514
NM_002779	0.03984933	0.04044083	0.03957397	0.03962152	2.4177288	2.3885177	2.15448812	2.4479976	chr10	104152366	104168891	16526	-	20436
NM_002790	0.74158189	0.77288534	0.73176201	0.70577808	0.2276274	0.24052625	0.22938294	0.21718431	chr1	109743176	109770593	27418	-	2244
NM_002801	0.2072277	0.21953199	0.22029931	0.22453798	0.14709571	0.14132064	0.14654304	0.14107301	chr16	66525908	66528254	2347	-	28724
NM_002811	1.66633719	1.66255352	1.69522373	1.6754874	0.89395512	0.94183035	0.90301818	0.90056637	chr16	72888182	72897687	9506	+	28804
NM_002837	0.01862617	0.02041259	0.02214852	0.02146319	0.06204172	0.06229042	0.07439097	0.06709757	chr12	69196899	69289891	92993	-	22838
NM_002858	0.3542134	0.35157323	0.35185132	0.35784456	0.33288215	0.32422996	0.32307197	0.31608135	chr1	94656521	94756807	100287	+	2158
NM_002864	0.00050608	0.00050608	0.00050608	0.00050608	0.00047983	0.00047983	0.00047983	0.00047983	chr12	9192703	9252233	59531	-	23521
NM_002872	0.1479006	0.15907518	0.1528033	0.1541527	0.01069866	0.01103875	0.01078041	0.01038473	chr22	35951256	35970251	18996	-	35884
NM_002962	0.00270507	0.00340115	0.00289423	0.00225932	0.00072542	0.00095136	0.00130146	0.00145808	chr1	151776247	151780865	4619	-	2631
NM_002964	0.00228909	0.00229326	0.00293627	0.00290084	0.11365294	0.10141513	0.10529175	0.11173716	chr1	151629132	151630288	1157	-	2627
NM_002977	0.01457939	0.01665516	0.01454156	0.01623984	0.00600058	0.00625395	0.00675092	0.00646442	chr2	166759943	166940743	180801	-	4288
NM_002979	0.29369971	0.29370667	0.2876982	0.29668034	0.38160794	0.396184	0.38260719	0.37607374	chr1	53165489	53289877	124389	+	415
NM_002996	0.26369925	0.30037884	0.26971666	0.29168136	1.10143584	1.06654985	1.09739686	1.06637163	chr16	55963915	55976457	12543	+	27760
NM_003017	0.51408474	0.53875346	0.53157138	0.50113979	0.46292294	0.44705093	0.46781483	0.41215534	chr6	36670068	36680222	10155	+	11470
NM_003041	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	chr16	31401940	31409592	7653	+	28488
NM_003059	0.00619629	0.00629602	0.00762319	0.00835854	0.00324268	0.00313654	0.0040048	0.00399666	chr5	131658044	131707798	49755	+	10175
NM_003088	2.3312514	2.3637065	2.24300787	2.17615849	1.15023323	1.14532169	1.1593185	1.09572554	chr7	5598980	5612812	13833	+	12612
NM_003121	0.00767988	0.00773586	0.00752156	0.00714833	0.00074767	0.00057318	0.00040849	0.00040849	chr19	55614007	55624062	10056	+	33462
NM_003131	0.63708125	0.60277217	0.59695663	0.61190671	0.49001224	0.52359576	0.50096279	0.49203787	chr6	43246898	43257222	10325	+	11589
NM_003137	0.61671882	0.61580967	0.63698545	0.62123835	0.20651155	0.21794674	0.21386785	0.20296043	chr6	35908789	35996935	88147	-	11451
NM_003141	0.08036194	0.08051449	0.08620442	0.08345463	0.03412559	0.03429275	0.03284265	0.03137343	chr11	4362703	4371502	8800	-	21285
NM_003151	0.00482386	0.00374455	0.00472433	0.00542084	0.15175858	0.1484798	0.16094845	0.15586649	chr2	191602551	191724170	121620	-	4366
NM_003152	0.4614762	0.49171393	0.50580958	0.52040013	0.08631078	0.08882549	0.08897484	0.08597627	chr17	37693091	37717486	24396	+	30048
NM_003153	0.36242011	0.37138903	0.37652426	0.38504155	0.12642073	0.14148441	0.14741364	0.14645145	chr12	55775455	55791463	16009	-	24063
NM_003222	0.22213546	0.23828551	0.24834215	0.24396258	0.00427133	0.00386635	0.00559439	0.00447325	chr20	54637765	54647745	9981	+	34802
NM_003225	0.81304413	0.84137232	0.88662944	0.86657616	0.00040849	0.00040849	0.00040849	0.00040849	chr21	42655460	42659713	4254	-	35309
NM_003234	1.04619054	1.04298973	0.94699129	1.02504353	0.20683306	0.19958989	0.20335003	0.21557587	chr3	197260552	197293358	32807	-	6592
NM_003236	0.04333559	0.04262622	0.04224653	0.04290738	0.08634358	0.09002495	0.0948152	0.08723097	chr2	70527925	70634613	106689	-	4911
NM_003246	0.59295343	0.5988248	0.6090664	0.60533056	0.08208904	0.08078122	0.08631093	0.08446121	chr15	37660572	37676960	16389	+	26934
NM_003251	0.00845911	0.00830798	0.00786108	0.00849561	0.01569853	0.01819315	0.01840701	0.01583601	chr11	77452555	77457051	4497	+	22329
NM_003253	0.16859656	0.17837293	0.1768549	0.17287457	3.04892955	3.12343131	3.07909712	3.04732394	chr21	31412607	31853161	440555	-	34971
NM_003258	1.14747081	1.22894357	1.15782255	1.20295313	0.01644639	0.01527978	0.01552956	0.01430299	chr17	73681755	73694880	13126	-	30850
NM_003278	0.00270679	0.00250903	0.00252023	0.00253719	0.01305841	0.01399493	0.01235603	0.01255292	chr3	45042763	45052567	9805	+	6874
NM_003279	0.0024349	0.00238033	0.00277817	0.00261859	0.00040849	0.00040849	0.00040849	0.00040849	chr20	43885262	43889360	4099	-	34717
NM_003282	0.06556852	0.06777679	0.06775819	0.06347452	0.00063411	0.00062151	0.00040849	0.00041298	chr11	1816809	1819486	2678	+	21224
NM_003284	0.00037878	0.00037878	0.00037878	0.00037878	0.00040849	0.00040849	0.00040849	0.00040849	chr2	217432427	217433027	601	-	5614
NM_003298	0.61614575	0.58123687	0.58940595	0.60915109	0.85946146	0.8717913	0.88276518	0.89329758	chr3	14964240	15065784	101545	+	6714
NM_003299	2.26672266	2.37865292	2.36053913	2.3150157	0.67540765	0.68972547	0.73668106	0.71784267	chr12	102848319	102865833	17515	+	24294
NM_003304	0.12587649	0.11311083	0.1308673	0.12737786	0.64257825	0.63224818	0.62571473	0.64158452	chr3	143925956	144009419	83464	+	7512
NM_003315	0.18685305	0.19552364	0.20792523	0.20784702	0.17780026	0.19366948	0.18874021	0.19183738	chr17	37381965	37423241	41277	-	30028
NM_003337	0.39629822	0.3941017	0.38674068	0.40064304	0.61935467	0.60657972	0.61394359	0.63827257	chr5	133734769	133755698	20930	+	10208
NM_003358	0.29676904	0.28844198	0.2961938	0.28953218	0.25741053	0.24211708	0.26270414	0.24509149	chr9	113699027	113735254	36228	+	16511
NM_003391	0.00037563	0.00037563	0.00037563	0.00037563	0.01265538	0.01336504	0.01538385	0.01580469	chr7	116703922	116750579	46658	-	13748
NM_003440	0.01668796	0.01790362	0.01902246	0.01843527	0.02103274	0.02517282	0.02445742	0.02555779	chr12	132167110	132194331	27222	+	24571
NM_003460	0.00037563	0.00037563	0.00037563	0.00037563	0.05955344	0.06709909	0.05817462	0.06245214	chr16	21116274	21130369	14096	-	28261
NM_003475	0.13838626	0.13736483	0.13008739	0.13785716	0.07692155	0.07719755	0.06899892	0.07443941	chr11	551450	554025	2576	+	21168
NM_003481	0.51728637	0.4980497	0.50228392	0.50755199	0.5650309	0.57646226	0.61051994	0.60835422	chr12	6831552	6846056	14505	+	23461
NM_003493	0.01418964	0.01501507	0.01744486	0.01635401	0.00946089	0.00987624	0.01027028	0.00947191	chr1	226679169	226679649	481	-	3521
NM_003494	0.03523936	0.03843591	0.03696598	0.03765562	0.04066985	0.0420638	0.04074444	0.04323997	chr2	71534261	71767401	233141	+	4040
NM_003504	0.54124049	0.5681555	0.52172329	0.53488748	0.00085964	0.00108192	0.00082593	0.00111228	chr22	17847416	17888135	40720	+	35467
NM_003529	0.07057455	0.07168399	0.06284172	0.06767912	0.01725967	0.01928182	0.01741047	0.01750062	chr6	26128697	26129165	469	+	10924
NM_003608	0.00617298	0.00363656	0.0046617	0.00448962	0.02044819	0.020892	0.02233656	0.02039254	chr14	87541221	87550908	9688	+	25915
NM_003625	0.00708544	0.00886802	0.00920218	0.00915115	1.23963224	1.24847961	1.2353315	1.20737018	chr12	80177487	80677240	499754	-	23172
NM_003654	0.0241685	0.02315461	0.02502813	0.02477492	0.87306186	0.88908498	0.90097524	0.83390795	chr11	45627003	45643748	16746	-	21608
NM_003726	0.02001118	0.01914872	0.01849857	0.01873454	0.00148617	0.00147482	0.00137578	0.00123427	chr17	43565801	43862593	296793	-	30281
NM_003733	0.01591004	0.01429954	0.0163249	0.01338003	0.00572354	0.00596707	0.00714415	0.00650321	chr12	119942478	119961163	18686	-	24460
NM_003740	0.12201693	0.12479712	0.11463415	0.1215258	0.00150415	0.00106681	0.0007428	0.00057273	chr6	39264725	39305229	40505	-	11503
NM_003742	0.0010841	0.00121532	0.00081325	0.00051	0.00048939	0.00048939	0.00049991	0.00048939	chr2	169487695	169596079	108385	-	5396
NM_003746	1.254816	1.212374	1.2229978	1.224269	2.28465468	2.3104663	2.26268408	2.2671405	chr12	119418242	119420681	2440	+	24447
NM_003766	0.21376021	0.2254855	0.22338793	0.22436949	0.40902915	0.41378315	0.41116664	0.40981505	chr17	38215676	38229836	14161	-	30083
NM_003784	0.00278173	0.00286486	0.00289972	0.00298333	0.00040849	0.00040849	0.00040849	0.00040849	chr18	59593592	59623584	29993	+	31476
